drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,82.67949192,82.67949192,42.6503285671039
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,82.67949192,100,42.6675216382446
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,82.67949192,117.3205081,42.6842554384238
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,100,82.67949192,42.6259475332073
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,100,100,42.6421689347234
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,100,117.3205081,42.6579033170077
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,117.3205081,82.67949192,42.5971982419706
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,117.3205081,100,42.6123525121269
0.082679492,0.082679492,0.082679492,0.082679492,82.67949192,117.3205081,117.3205081,42.6269889815056
0.082679492,0.082679492,0.082679492,0.082679492,100,82.67949192,82.67949192,42.4606585153114
0.082679492,0.082679492,0.082679492,0.082679492,100,82.67949192,100,42.4772770782908
0.082679492,0.082679492,0.082679492,0.082679492,100,82.67949192,117.3205081,42.4934244892395
0.082679492,0.082679492,0.082679492,0.082679492,100,100,82.67949192,42.4345361020298
0.082679492,0.082679492,0.082679492,0.082679492,100,100,100,42.450142177452
0.082679492,0.082679492,0.082679492,0.082679492,100,100,117.3205081,42.4652480889987
0.082679492,0.082679492,0.082679492,0.082679492,100,117.3205081,82.67949192,42.4038862658653
0.082679492,0.082679492,0.082679492,0.082679492,100,117.3205081,100,42.4183796380071
0.082679492,0.082679492,0.082679492,0.082679492,100,117.3205081,117.3205081,42.4323406178844
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,82.67949192,82.67949192,42.2701143563322
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,82.67949192,100,42.2861407122091
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,82.67949192,117.3205081,42.3016835124749
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,100,82.67949192,42.2421861271563
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,100,100,42.2571572236156
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,100,117.3205081,42.2716144149277
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,117.3205081,82.67949192,42.2095636174926
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,117.3205081,100,42.2233741935189
0.082679492,0.082679492,0.082679492,0.082679492,117.3205081,117.3205081,117.3205081,42.2366371016678
0.082679492,0.082679492,0.082679492,0.1,82.67949192,82.67949192,82.67949192,44.1969482618713
0.082679492,0.082679492,0.082679492,0.1,82.67949192,82.67949192,100,44.2253983389243
0.082679492,0.082679492,0.082679492,0.1,82.67949192,82.67949192,117.3205081,44.2536863055725
0.082679492,0.082679492,0.082679492,0.1,82.67949192,100,82.67949192,44.2178664027725
0.082679492,0.082679492,0.082679492,0.1,82.67949192,100,100,44.2461370063529
0.082679492,0.082679492,0.082679492,0.1,82.67949192,100,117.3205081,44.2742401963695
0.082679492,0.082679492,0.082679492,0.1,82.67949192,117.3205081,82.67949192,44.2374356605036
0.082679492,0.082679492,0.082679492,0.1,82.67949192,117.3205081,100,44.2655072138874
0.082679492,0.082679492,0.082679492,0.1,82.67949192,117.3205081,117.3205081,44.2934056498839
0.082679492,0.082679492,0.082679492,0.1,100,82.67949192,82.67949192,44.0204017757367
0.082679492,0.082679492,0.082679492,0.1,100,82.67949192,100,44.04861658916
0.082679492,0.082679492,0.082679492,0.1,100,82.67949192,117.3205081,44.0766673961768
0.082679492,0.082679492,0.082679492,0.1,100,100,82.67949192,44.0408037432311
0.082679492,0.082679492,0.082679492,0.1,100,100,100,44.0688304993084
0.082679492,0.082679492,0.082679492,0.1,100,100,117.3205081,44.0966877802761
0.082679492,0.082679492,0.082679492,0.1,100,117.3205081,82.67949192,44.0598215452666
0.082679492,0.082679492,0.082679492,0.1,100,117.3205081,100,44.0876399897112
0.082679492,0.082679492,0.082679492,0.1,100,117.3205081,117.3205081,44.1152830727301
0.082679492,0.082679492,0.082679492,0.1,117.3205081,82.67949192,82.67949192,43.8434547571708
0.082679492,0.082679492,0.082679492,0.1,117.3205081,82.67949192,100,43.8714301599609
0.082679492,0.082679492,0.082679492,0.1,117.3205081,82.67949192,117.3205081,43.8992395952552
0.082679492,0.082679492,0.082679492,0.1,117.3205081,100,82.67949192,43.863326798088
0.082679492,0.082679492,0.082679492,0.1,117.3205081,100,100,43.8911052740056
0.082679492,0.082679492,0.082679492,0.1,117.3205081,100,117.3205081,43.9187121413665
0.082679492,0.082679492,0.082679492,0.1,117.3205081,117.3205081,82.67949192,43.8817782404602
0.082679492,0.082679492,0.082679492,0.1,117.3205081,117.3205081,100,43.9093388291078
0.082679492,0.082679492,0.082679492,0.1,117.3205081,117.3205081,117.3205081,43.9367217327334
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,82.67949192,82.67949192,45.8783413648264
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,82.67949192,100,45.9093250551005
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,82.67949192,117.3205081,45.9401980494815
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,100,82.67949192,45.9191057475299
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,100,100,45.950092814829
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,100,117.3205081,45.980967438265
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,117.3205081,82.67949192,45.9593299854644
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,117.3205081,100,45.9903147604681
0.082679492,0.082679492,0.082679492,0.117320508,82.67949192,117.3205081,117.3205081,46.0211852551154
0.082679492,0.082679492,0.082679492,0.117320508,100,82.67949192,82.67949192,45.7060595739924
0.082679492,0.082679492,0.082679492,0.117320508,100,82.67949192,100,45.7369079262523
0.082679492,0.082679492,0.082679492,0.117320508,100,82.67949192,117.3205081,45.7676450797961
0.082679492,0.082679492,0.082679492,0.117320508,100,100,82.67949192,45.7466434165065
0.082679492,0.082679492,0.082679492,0.117320508,100,100,100,45.7774925125816
0.082679492,0.082679492,0.082679492,0.117320508,100,100,117.3205081,45.8082286257667
0.082679492,0.082679492,0.082679492,0.117320508,100,117.3205081,82.67949192,45.7866759088041
0.082679492,0.082679492,0.082679492,0.117320508,100,117.3205081,100,45.8175199291482
0.082679492,0.082679492,0.082679492,0.117320508,100,117.3205081,117.3205081,45.8482490911359
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,82.67949192,82.67949192,45.5335057542705
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,82.67949192,100,45.564217226383
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,82.67949192,117.3205081,45.5948169837488
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,100,82.67949192,45.5739051224939
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,100,100,45.6046146388558
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,100,117.3205081,45.63521061901
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,117.3205081,82.67949192,45.6137416707452
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,117.3205081,100,45.6444432568176
0.082679492,0.082679492,0.082679492,0.117320508,117.3205081,117.3205081,117.3205081,45.6750293910542
0.082679492,0.082679492,0.1,0.082679492,82.67949192,82.67949192,82.67949192,44.4123099879725
0.082679492,0.082679492,0.1,0.082679492,82.67949192,82.67949192,100,44.408781408619
0.082679492,0.082679492,0.1,0.082679492,82.67949192,82.67949192,117.3205081,44.404404684634
0.082679492,0.082679492,0.1,0.082679492,82.67949192,100,82.67949192,44.3143292589422
0.082679492,0.082679492,0.1,0.082679492,82.67949192,100,100,44.3078362317797
0.082679492,0.082679492,0.1,0.082679492,82.67949192,100,117.3205081,44.3003982386753
0.082679492,0.082679492,0.1,0.082679492,82.67949192,117.3205081,82.67949192,44.2038621388389
0.082679492,0.082679492,0.1,0.082679492,82.67949192,117.3205081,100,44.1940093724206
