drive_1,drive_2,drive_3,drive_4,T_TOP,T_MID,T_END,Z23
0.11,0.09,0.11,0.11,110,90,90,55.110594049386
0.11,0.09,0.11,0.11,110,90,110,55.1397950322713
0.11,0.09,0.11,0.11,110,110,90,55.134336789608
0.11,0.09,0.11,0.11,110,110,110,55.1633882582681
0.11,0.11,0.09,0.09,90,90,90,53.1684516068773
0.11,0.11,0.09,0.09,90,90,110,53.2042422869874
0.11,0.11,0.09,0.09,90,110,90,53.1602634432039
0.11,0.11,0.09,0.09,90,110,110,53.1952606029594
0.11,0.11,0.09,0.09,110,90,90,52.9620936606689
0.11,0.11,0.09,0.09,110,90,110,52.9974741712737
0.11,0.11,0.09,0.09,110,110,90,52.9525528544721
0.11,0.11,0.09,0.09,110,110,110,52.987108614036
0.11,0.11,0.09,0.11,90,90,90,55.3743545162953
0.11,0.11,0.09,0.11,90,90,110,55.4118820680401
0.11,0.11,0.09,0.11,90,110,90,55.39205384292
0.11,0.11,0.09,0.11,90,110,110,55.4293314398905
0.11,0.11,0.09,0.11,110,90,90,55.1807864676824
0.11,0.11,0.09,0.11,110,90,110,55.2181393288356
0.11,0.11,0.09,0.11,110,110,90,55.1979812176199
0.11,0.11,0.09,0.11,110,110,110,55.2350742073491
0.11,0.11,0.11,0.09,90,90,90,56.780019221139
0.11,0.11,0.11,0.09,90,90,110,56.7848345008432
0.11,0.11,0.11,0.09,90,110,90,56.6703719813899
0.11,0.11,0.11,0.09,90,110,110,56.6714826384215
0.11,0.11,0.11,0.09,110,90,90,56.5322711789965
0.11,0.11,0.11,0.09,110,90,110,56.5354719245227
0.11,0.11,0.11,0.09,110,110,90,56.4165047990796
0.11,0.11,0.11,0.09,110,110,110,56.4157741765169
0.11,0.11,0.11,0.11,90,90,90,59.2099026364801
0.11,0.11,0.11,0.11,90,90,110,59.2324892464525
0.11,0.11,0.11,0.11,90,110,90,59.2013387236072
0.11,0.11,0.11,0.11,90,110,110,59.2231712266712
0.11,0.11,0.11,0.11,110,90,90,59.0040353765775
0.11,0.11,0.11,0.11,110,90,110,59.0261567481516
0.11,0.11,0.11,0.11,110,110,90,58.99405063408
0.11,0.11,0.11,0.11,110,110,110,59.0153835161486
